Position,Date Posted,Application Due,Position Type,Number of Openings,Location,Targeted Academic Majors,Hiring Status,Job Function,Payment Type and Range,Hours Per Week,Workplace Type,Transportation,Work Authorization,Additional Documents,Desired Skills,Description,Bouve College of Health Sciences,College of Engineering,"College of Arts, Media & Design",College of Science,College of Social Science & Humanities,D'Amore-McKim School of Business,Khoury College of Computer Sciences
PT Co-op Student (Back Bay),"Sep 25, 2020","Dec 25, 2020",Co-op,2,"Boston, Massachusetts United States",Bouve College of Health Sciences/Physical Therapy,Available,Healthcare - Physical Therapy,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,,,,,REQUIREMENTS,Yes,No,No,No,No,No,No
Scheduling  Assistant - Congressman Seth Moulton,"Sep 01, 2020","Jan 08, 2021",Co-op,1,"Washington, District of Columbia United States","College of Arts, Media & Design, College of Social Science & Humanities",Available,Operations,"Stipend/$1,000 to $5,000 (USD)",Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,"The scheduling assistant will be asked to manage the calendar/incoming scheduling requests, answer phones, liaise with the district team, staff the front office, book and manage travel and complete daily operations tasks in the DC Office.Compensation:Hours are flexible and are reflective of the Congressional calendar. The entire team meets daily at 8:45am and wraps at 6:00pm while in session. When out of session, we run on an 8:45am - 5:00pm schedule.Congressman Moulton serves the 6th District of Massachusetts and sits on the House Armed Services Committee (HASC) and is the Vice Chair of the House Budget Committee. For further information please visit: https://moulton.house.govNU Housing is available in the DC area, please consult with Off Campus Housing and Support Services for more information.",No,No,Yes,No,Yes,No,No
Product Development - Mechanical Engineer Co-op,"Nov 02, 2020","Jan 15, 2021",Co-op,1,"Newton, Massachusetts United States","College of Engineering/Mechanical Engineering, College of Engineering/Electrical Engineering, College of Engineering/Electrical and Computer Engineering, College of Engineering/Computer Engineering, College of Engineering/Bioengineering",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Accessible by public transportation,,,,"Product Development - Mechanical Engineer with a Medical Device Company in Newton, MAJanuary - June 2020About the Company: Dynocardia is a Newton, MA, and Cambridge, MA based company founded by a team of engineers and physicians from MIT and Tufts Medical School. Dynocardia is addressing a 100-year old challenge – the need for an accurate and continuous, non-invasive blood pressure monitor. This device will allow for predictive, remote patient monitoring, which will enable a continuum of critical care in hospitals and facilitate correct diagnosis and management of hypertension and other chronic diseases (telehealth).The NIH identified the need for a cNIBP monitor as a public health priority and funded Dynocardia to develop a fundamentally new way to measure BP with the first standalone and wearable cNIBP and other vital signs monitor, the ViTrack.We are looking for dynamic individuals who are interested in learning and applying their product development and testing skills in the medical devices industry.· BS or MS in Engineering (Mechanical, Biomedical, Electrical, and Computer sciences preferred)Years of Experience· 0-2+ years of experience with a Bachelor's degree· 0+ years of experience with a Master's degree or higherQualifications:Must have:An ideal candidate will be someone who matches the following minimum qualifications· Strong knowledge and hands-on experience with CAD design softwares ( Solidworks / Catia / Autocad)· Machine shop experience (3D printing, and basic machine tools handling)· Basic knowledge of programming languages: C++ / Python / Matlab.· Working knowledge of product design, development, and test practices.· Hands-on experience in building and testing experiment set-ups (not specific to any field).· Oral and written communication skills.· Ability to diligently follow documentation protocols and suggest improvements as required· Ability to work in a team environment.Nice to Have:· Experience with medical device testing and understanding of hardware and software systems.· Experience with data analysis and data presentation.· Experience with dFMEA and risk management practices.· Experience with medical device testing and understanding of FDA Quality System Regulations (QSR).· Able to handle multiple tasks/projects and manage priorities.· Ability to work in a fast-paced, collaborative team environment. Experience with Agile and iterative development practices is a plus.· Self-motivated with strong problem-solving skills and the ability to work independently.· Knowledge of statistical methods· Knowledge of 3D modeling is a plusScope of Work:· Design and set-up Mock circulatory loop· CP2 design upgrades and fabrication· CP2 Assembly and testing· Gel fabrication· Creating SOPs, test protocols and other quality control documents· Assist in internal data collection",No,Yes,No,No,No,No,No
Immigration Legal Services – Program Support Co-op ,"Nov 02, 2020","Dec 14, 2020",Co-op,1,"Boston, Massachusetts United States","College of Professional Studies, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Administrative Support,Stipend,Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Primarily remote work",Accessible by public transportation,,Cover Letter,"Legal Documents, SalesForce, Bilingual-Spanish, Confidentiality, Initiation, Languages- Arabic ( Fluent), French (Beginner), Database, Administrative Support, Non-profits, Immigration Issues","The Rian Immigrant Center, located in downtown Boston, is seeking a motivated and enthusiastic Co-op student to provide support to the Rian Immigration Legal Services (ILS) Program. This position offers a wonderful opportunity for someone interested in immigration or social justice to become part of a team of people dedicated to helping immigrants and refugees. This is a chance to make a difference in the lives of immigrants and to gain an appreciation for diverse cultures. You will be given significant responsibility, and will gain solid experience and learn new skills while receiving on the job training in a supportive non-profit environment with a real community feel. The Rian Immigrant Center is an Equal Opportunity Employer and strongly encourages candidates of diverse backgrounds and languages to apply.Stipend available – please inquire for detailsRESPONSIBILITIES· Intake new clients via phone to collect biographic information required by   ILS· Triage new clients via phone to identify their legal questions· Schedule new clients for legal consultations with staff and volunteer attorneys· Communicate with volunteer attorneys regarding scheduled consultations· Enter client intake information into database· Interpret during client appointments as needed· Translate written documents as needed· Maintain accurate client records· Participate in departmental and agency wide meetings: training, events, etc.· Provide administrative support for the ILS program· Perform other tasks as required by supervisor· Support the Rian Immigrant Center missionQUALIFICATIONS· A commitment to the overall mission and values of the Rian Immigrant Center· An interest in immigration law desired but not required· Great organizational skills and attention to detail· Articulate, and clear communicator· Highly motivated, an ability to work independently and as part of a team· Competent in using Microsoft Word , Excel and databases (Salesforce experience a big plus)· Good interpersonal skills – friendly, helpful, and “can do” attitudeAbility to handle confidential information with the highest level of discretion",No,No,No,No,Yes,Yes,No
"Co-Op, Project Coordinator","Sep 19, 2020","Nov 06, 2020",Co-op,1,"Acton, Massachusetts United States","D'Amore-McKim School of Business/Management Information Systems, Khoury College of Computer Sciences/Information Science, Khoury College of Computer Sciences/Information Assurance, Khoury College of Computer Sciences/Computer Science",Available,Project Management,Hourly/$23 to $29 (USD),Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,Car required for commute,,,"Time Management, Project Management, MS Excel","The IT Project Coordinator Co-op will work alongside Project Coordinators, Project Managers and Testing Managers to arrange the activities logistics of IT projects. They will work with team members to create a project timeline, set goals and determine what elements are needed to complete the project. They will then oversee parts of the project to ensure that it stays on schedule, on budget and in scope. Project Coordinators track project tasks progress, coordinate resources, order supplies, schedule meetings and process payments related to the project. They also assist with end user testing.JOB RESPONSIBILITIES:",No,No,No,No,No,Yes,Yes
Mechanical Engineer Co-op,"Sep 29, 2020","Nov 16, 2020",Co-op,1,"Boston, Massachusetts United States","College of Engineering, College of Engineering/Mechanical Engineering, College of Engineering/Energy Systems",Available,Engineering - Other,Hourly/$23 to $29 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work, Primarily remote work",Accessible by public transportation,,,,,No,Yes,No,No,No,No,No
Hardware Software Integration Intern,"Sep 29, 2020","Jan 08, 2021",Co-op,1,"Foster City, California United States","College of Engineering/Robotics, College of Engineering/Information Systems, College of Engineering/Electrical Engineering, College of Engineering/Electrical and Computer Engineering, College of Engineering/Computer System Engineering, College of Engineering/Computer Engineering, Khoury College of Computer Sciences/Computer Science",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",,,,,"We have opportunities on our Testing Automation, and Platforms teams; candidates will be matched to the team that best fits their skill set and interests.ABOUT ZOOXZoox is developing the first ground-up, fully autonomous vehicle fleet and the supporting ecosystem required to bring this technology to market. Sitting at the intersection of artificial intelligence, robotics, and design, Zoox aims to provide the next generation of mobility-as-a-service in urban environments. We’re looking for top talent that shares our passion and wants to be part of a fast-moving and highly execution-oriented team.Follow us on LinkedIn",No,Yes,No,No,No,No,Yes
Manufacturing Co-op,"Oct 15, 2020","Jan 15, 2021",Co-op,1,"Acton, Massachusetts United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Car required for commute,,,,,No,Yes,No,No,No,No,No
GM Business Continuity Planner Co-op,"Oct 15, 2020","Dec 25, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Business Administration - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,"Job LocationQuincy and/or Boston§ Maintain current and accurate records in the Business Continuity Management System (BCMS)§ Create, document, test and enhance continuity plans supporting critical systems and functions during a business interruption§ Ensure business unit compliance with the Global Continuity Services (GCS) Program Standards§ Understand dependencies for business processes, business functions, applications, technology, and internal / external parties related to the business§ Raise business challenges to Business Continuity Director (BCD) that could impact continuity planning§ Provide support for coordination with global GM plans§ Assist and/or lead in BCP Projects§ Assist and/or lead in resolving outstanding regulatory, audit, and/or self-identified issues· TESTING§ Ensure all testing results are properly tracked and documented per program procedures§ Provide support through recovery exercise process and enhance project plans as a result of issues resolved during and after exercise or actual incidentsRequired Skills§ Extremely organized and understand sense of urgency§ Ability to simultaneously focus on multiple high-priority tasksAs Business Continuity employee, you will have the opportunity to gain the following skills and learning:· An understanding of Business Continuity Planning specific to a large, global financial institution· Identification and implementation of process improvements",No,No,No,No,No,Yes,No
Product Management Intern,"Oct 23, 2020","Mar 01, 2021",Co-op,1,"Santa Clara, California United States","College of Engineering/Telecommunications-System Management, College of Engineering/Telecommunication Networks, College of Engineering/Information Systems, College of Engineering/Data Analytics Engineering, College of Engineering/Computer System Engineering, College of Engineering/Computer Engineering",Available,Project Management,Unspecified,Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,,"Authorized to work in the U.S., Requires OPT or CPT, United States Citizen, Legal Permanent Resident of US",,,"Joining HPE in an early career role is an excellent opportunity for a self-motivated, proactive individual to grow with us and help us drive our continued success globally. We are one of the largest technology companies in the world, operating in over 150 countries and market leading in several industries. We believe in partnership, innovation and taking action – our culture is what defines us as a company: how we act, how we treat others, and how we conduct business. In addition to working alongside great colleagues, you will have many opportunities to learn through coaching and stretch assignment opportunities. You’ll be guided by feedback and support to accelerate your learning and maximize your knowledge. We even have a “reverse mentoring” program which allows us to share our knowledge and strengths across our multi-generation workforce.Responsibilities:Qualifications:Education and Experience:HPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together.",No,Yes,No,No,No,No,No
Startup Founder Co-op,"Oct 26, 2020","Nov 07, 2020",Co-op,4,"Boston, Massachusetts United States","College of Arts, Media & Design, Bouve College of Health Sciences, College of Engineering, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Entrepreneurship,"Stipend/$10,000 to $20,000 (USD)",Full Time (32+ Hours Per Week),Remote work is permitted at any time,,,,,"Application DeadlineFriday, November 6, 5:00PM US/EST.Interview TimeframesSelected students will be interviewed the week of Monday, November 9 through Wednesday, November 11.Offers ExtendedFriday, November 13Startup Founder Co-opPlease read and carefully follow the application instructions. This position is open to all Northeastern University undergraduate students who meet one of the following eligibility requirements:ORThis co-op opportunity is not for students who are in concept development or “Ready” stage of IDEA’s stage gate process.OverviewSponsored by the Northeastern University Center for Entrepreneurship Education (NUCEE), this co-op opportunity is for student founders who have already identified a problem, have engaged in significant research, and will build a product, technology, or service as a solution.Students will partner and engage with programs and resources within Northeastern’s entrepreneurship ecosystem including the Mosaic organizations (IDEA, Generate, Origin, and Scout, for example) and the Venture Mentoring Network (VMN) among others.Milestones/GoalsOver the course of the co-op, students will make progress towards three milestones set in advance evaluating progress on a monthly basis.ExpectationsThe following expectations guide the program for approved/selected students:Students will be evaluated at the end of their co-op relative to their milestone completion and learning outcomes.Remote WorkStudents may work remotely and are expected to be available for meetings and calls during traditional business hours 8:30AM-5:00PM United States/Eastern time zone. Some timeframes outside of these hours may also be required.Funding The total funding for this position is $16,000 which is disbursed into the student's Northeastern University financial account on a regular basis throughout the co-op period. This amount is non-negotiable and no additional funding will be provided.Number of PositionsUp to a maximum of four co-op positions will be offered following a competitive review of applications and interviews.Application and Interview ProcessPlease read and follow these instructions.1) Your most up-to-date resume including all co-ops2) A three-page maximum Executive Summary includinga. Your nameb. Venture namec. Problem you are seeking to solved. Proposed solutionse. Product or service offeredf. Status of product/service developmentg. Composition of target marketh. Competitorsi. Business modelj. Three specific milestones that will be accomplished while on co-opNotesRequests to sign a Non-Disclosure Agreement (NDA) to read your application will not be accommodated.Please do not submit anyadditional materials: no slide decks/no presentations/no videos, etc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
Legislative Assistant -- Congressman Mikie Sherrill's Office,"Sep 07, 2020","Jan 08, 2021",Co-op,1,"Washington, District of Columbia United States","College of Arts, Media & Design, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Legislative Assistance,"Monthly/$2,500 to $5,000 (USD)",Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,Accessible by public transportation,,,"Writing, Research, Communication, Telephone Skills, Administrative Duties","The Washington, D.C. Office of Congresswoman Mikie Sherrill (D-NJ-11) is accepting applications from current undergraduates looking to learn more about the legislative process in our nation's capitol. Through the program, students will acquire practical Capitol Hill experience in addition to having the opportunity to network with staffers and fellow interns.The hours are 9:00AM-6:00PM when Congress is in session and 9:00AM -5:00PM when in recess.",No,No,Yes,Yes,Yes,Yes,No
Remote Internship -- Congressman Stephen Lynch's Office,"Sep 06, 2020","Jan 08, 2021",Co-op,1,"Washington, District of Columbia United States","College of Arts, Media & Design, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Legislative Assistance,Monthly,Half Time (16-31 Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,"Constituent Correspondence, Communication Skills, Attention to Detail","A previous co-op's overview of what they did and learned in this position can be viewed here.Please apply through NUcareers and through Congressman Lynch's website.Congressman Lynch serves on the Oversight and Government Reform Committee and the Financial Services Committee. For more information on Congressman Lynch, please visit his website at: http://lynch.house.gov/about-me/committees-and-caucusesNU Housing is available in the DC area, please consult with Off Campus Housing and Support Services for more information.",No,No,Yes,Yes,Yes,Yes,No
"Research Assistant, Encapsulation","Oct 27, 2020","Nov 20, 2020",Co-op,1,"Cambridge, Massachusetts United States","Bouve College of Health Sciences, College of Science",Available,Engineering - Other,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,,Yes,No,No,Yes,No,No,No
Immigrant Health Center Front Desk Coordinator,"Oct 05, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States","Bouve College of Health Sciences, Bouve College of Health Sciences/Nursing, Bouve College of Health Sciences/Health Science, Bouve College of Health Sciences/Health Informatics, College of Professional Studies/Global Studies and International Relations, College of Science/Behavioral Neuroscience, College of Social Science & Humanities/Public Policy & Administration",Available,Healthcare - Health Sciences,"Stipend/$1,000 to $5,000 (USD)",Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,"Coordination, Healthcare Administration, Hospitals, Customer Oriented, Public Health, minority health, Healthcare, Global Health","Boston Medical Center (BMC) has long been a leader in recognizing that for our patients to be truly healthy, we cannot focus solely on their physical and mental wellbeing alone. We know that holistic health also requires us to not only address our patient's physical and mental health, but to also address their access to social support, such as food and housing insecurity, legal needs or employment. In particular, BMC has a long history of providing this holistic care to immigrant and refugee patients in various programs throughout many departments at BMC. In 2019, we launched the BMC Immigrant & Refugee Health Center (IRHC), a comprehensive, multidisciplinary Center thatunitesall of BMC's existing programs and expertiseintoone coordinated network of care, allowing us to serve our patients in a more holistic, coordinated, effective and efficient way. The key programs that comprise the IRHC include the Boston Center for Refugee Health and Human Rights (BCRHHR) in the Dept. of Psychiatry, the Immigrant and Refugee Health Program (IRHP) in the Dept. of General Internal Medicine (GIM) and the Women's Refugee Health Clinic in the Dept. of OBGYN, as well as other partners across the hospital who are experts in immigrant and refugee health.",Yes,No,No,Yes,Yes,No,No
Regulatory Specialist,"Sep 01, 2020","Jan 04, 2021",Co-op,2,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Professional Studies/Regulatory Affairs, College of Professional Studies/Analytics, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Government - Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,"Compliance, Bilingual-Spanish, Time Management, Multilingual, Government Affairs, Public Administration, Research, Analytical Skills, Communication (verbal & written)","Please note: Due to the Commonwealth’s current telework policy, this position may require a combination of reporting to the DTC’s office and remote work.",No,No,Yes,No,Yes,Yes,No
Bioinformatics Research Assistant,"Oct 26, 2020","Dec 18, 2020",Co-op,1,Switzerland,"College of Science/Biotechnology, College of Science/Bioinformatics, Khoury College of Computer Sciences/Data Science",Available,Bioinformatics,"Monthly/$1,000 to $2,500 (USD)",Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted at any time",,,Cover Letter,"Python, Basic German, Linux/UNIX, Next Gen Sequencing","· Explore / develop advanced approaches for analysis of single-cell RNA- sequencing (scRNA-seq) and bulk RNA-seq experiments· Research and frame key questions to address scientific use cases· Identify / define appropriate data sets· Perform data analyses and visualizationsProject proposal – details tbd/subject to change!To advance towards the goal of identifying sub-populations of glioblastoma cell types which might be linked to more aggressive cancer, you will perform a literature review in collaboration with disease biology colleagues in the Oncology Disease Area. On this basis, you will identify and analyze scRNA-seq and bulk RNA-seq datasets to select candidate genes within cell sub-populations with markedly higher expression in glioblastoma compared to normal brain. You will make your results accessible to disease biologists by visualizing cell sub-population-specific gene expression across multiple scRNA-seq datasets.· Experience with Next Generation Sequencing Data analysis· Bioconductor· Experience with (single-cell) RNA-seq data analysis· Working effectively in a global, multi-disciplinary, matrixed team· Weekly global team (lab) meetings; attendance of various global and site-specific seminars· Access to and interaction with the NIBR and Novartis Data Science communities of >500 people",No,No,No,Yes,No,No,Yes
Technical Support Analyst,"Sep 24, 2020","Nov 04, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Engineering/Information Systems, College of Engineering/Computer System Engineering, College of Engineering/Computer Engineering, College of Professional Studies/Information Technology, D'Amore-McKim School of Business/Management Information Systems, Khoury College of Computer Sciences/Information Science, Khoury College of Computer Sciences/Information Assurance, Khoury College of Computer Sciences/Data Science, Khoury College of Computer Sciences/Computer Science",Filled,Information Technology,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,,Compensation$22.00 per hour;35 hour work week,No,Yes,No,No,No,Yes,Yes
Marketing and Social Media Intern,"Nov 04, 2020","Jan 13, 2021",Co-op,1,"Boston, Massachusetts United States Hyde Park Boston, Massachusetts United States","College of Arts, Media & Design/Design, College of Arts, Media & Design/Communication Studies, D'Amore-McKim School of Business/Marketing",Available,Marketing - Strategy,Hourly/$8 to $14 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,Cover Letter,,"We Grow Microgreens, LLC founded and operated by urban growers Lisa Evans and Tim Smith, specializes in growing highly nutritious microgreens, edible flowers and unique plants using sustainable growing practices.We Grow Microgreens, LLC expanded to almost an acre of land in Hyde Park conveyed by deed by the City of Boston in March of 2019. The couple built an aesthetically beautiful, water conserving and energy efficient glass greenhouse that melds into the fabric of a residential neighborhood. The couple selected a high-quality glass greenhouse for the farm that allows neighbors to see the lovely greenery during all months of the year. The glass greenhouse has translucent solar panels on part of the roof and two rainwater tanks collecting 7,000 gallons of rainwater so that the business can have a greater capacity of sustainable growing practices of microgreens, edible flower production and unique tropical plants resulting in increased yield and conservation of resources. The Farm includes a Community Preservation Act funded landscaped community walking path with wildlife attracting plantings designed by Landscape Architect Wes Wirth.The couple has been successful in winning eleven grants from the Massachusetts Department of Agriculture, the United States Department of Agriculture, Governor Baker and the City of Boston. They were awarded Microenterprise of the Year by the Small Business Administration in 2019.GENERAL JOB DESCRIPTIONThe farm is looking for an intern to assist with the sales and marketing of our growing urban farm. As our construction is nearing its final stages, we will be equipped to be up and running at full capacity soon and need to build a reliable customer base.There are multiple aspects of the farm that can become profitable, such as our microgreens, unique house plants, fruits and veggies from our raised beds, and on-site educational capacities. As former Boston Public School teachers, Tim and Lisa have over twenty years of combined teaching experience to create a thriving educational program at the Farm. The intern will help explore these options and work directly with Tim and Lisa to devise a suitable plan to market the business effectively.The intern will have a leading role in running We Grow Microgreens’ social media accounts and website. They will also be conducting market research on potential customer bases. Design skills are preferred but not required.The farm is looking for an undergrad or grad student studying in the field of marketing or sales. The ideal candidate is outgoing, self-directed and creative and has a passion for sustainable agriculture. The intern will work both independently and as part of a team. The intern will also assist in other areas of the farm such as harvesting microgreens, picking vegetables and flowers and general maintenance of the Farm.ADDITIONAL RESPONSIBILITIESThe farm is currently in the final stages of construction and business building. A grant for the construction of 200 raised beds has recently been awarded, and the assembly of these will begin in the winter months. The intern will be expected at times to help with basic construction projects like these.We are attending farmer's markets throughout the winter months and need assistance in marketing these markets and our online pick-up services. You will have the opportunity to learn about marketing through social media in the agricultural and horticultural realms. You will get first hand marketing experience at farmer’ market and the farm’s farmstand by promoting and selling the products. Lastly, you will learn about growing microgreens and harvesting techniques.This is a start-up farm, so you will wear many hats. We welcome any suggestions in building our budding business.MAJOR DUTIES AND RESPONSIBILITIES1.Oversee a specialized marketing campaign on one aspect of the business, to be discussed with Tim and Lisa2. Conduct research on potential audiences and marketing campaigns3. Run the business’s social media accounts and website4. Build raised stone beds5. Build raised wood beds6. Grow microgreens and edible flowers7. Assist at Farmer's markets selling produce8. Assist at Farm-stand selling produce9. Collaborate with other individuals on the farm10. Be a role model for teen employees that already work on the farm11. Assist with selling microgreens at farmer's marketsQUALIFICATIONS FOR THE JOBCOMPENSATIONTo apply, please submit a resume, cover letter, and contact information for two references.Our website is www.wegrowmicrogreens.comFacebookInstagramFarm is located at21 Norton StreetHyde Park, MA 02136",No,No,Yes,No,No,Yes,No
Process Engineering Coop,"Sep 21, 2020","Dec 31, 2020",Co-op,1,"Attleboro, Massachusetts United States","College of Engineering/Industrial Engineering, College of Engineering/Chemical Engineering",Available,Operations,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",Accessible by public transportation,,,,"Company Description:Metalor Technologies USA is an international, Swiss-based group, with subsidiaries in 15 countries. It is a leading participant in the field of precious metals and advanced material.The Advanced Coatings Division (ACD), Powders and Flakes Business Unit is located in Attleboro, Massachusetts. We supply a comprehensive range of leading edge materials to meet the demanding requirements of the automotive, electrical, renewable energy (photovoltaics), and electronic industries. We produce precious metal powders and flakes with various particle sizes, surface areas, and morphologies by chemical, electrochemical, or mechanical means.The Attleboro facility has a staff of approximately 60 people, including Operators, Technicians, Chemists, Engineers, and Managers.Position Description:The Process Engineering Co-op position will be open to entry, intermediate, and advanced experience levels. Projects and assignments will be tailored to the individual's experience and comfort level, ranging from support work to full project management: in some instances the candidate will serve as a team member assisting Metalor employees with ongoing projects; in others the candidate will serve as team leader for his/her own projects. The Engineering team is very team-oriented and collaborative, and innovation is encouraged. Under the guidance of the Engineering Manager, the candidate will learn the various processes used at Metalor to produce silver powders and flakes, and gain valuable manufacturing experience, including exposure to R&D through Quality Control processing steps.The level of responsibility will be at the discretion of the Engineering Manager. The candidate will gain experience with industrial process-scale chemical reactions and manufacturing, distillation, R&D lab-scale chemical reactions and manufacturing, new product development, quality analysis, project management, and industrial controls and automation. The candidate will be fully trained in Environmental, Health, and Safety procedures before working in the production or laboratory environment. The Process Engineering Co-op will also have input and freedom to identify and pursue facility-wide or process scale improvement projects at his or her own discretion around in addition to planned projects.We are looking for motivated self starters, who are eager to learn. We want someone who can work well in a team, or independently when given adequate instruction. We are committed to serving as mentors for our Co-op students, and we expect the same level of commitment from them to their jobs here at Metalor. Co-ops will receive a large variety of valuable industrial training and experience, including hands-on involvement.Qualifications:Transportation:Metalor's Attleboro, MA facility is accessible by car or by commuter rail on the Boston-Providence line. The commuter rail stop is approximately a 5 minute walk from the facility.",No,Yes,No,No,No,No,No
Front End Web Developer Co-op,"Oct 15, 2020","Nov 15, 2020",Co-op,1,"Boston, Massachusetts United States",Khoury College of Computer Sciences,Available,Web Development,Hourly/$27 to $33 (USD),Full Time (32+ Hours Per Week),Primarily remote work,Accessible by public transportation,,,,,No,No,No,No,No,No,Yes
Embedded Software Co-op,"Sep 18, 2020","Dec 18, 2020",Co-op,1,"Boston, Massachusetts United States","College of Engineering/Electrical and Computer Engineering, College of Engineering/Computer Engineering",Available,Software Development,Hourly,Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Accessible by public transportation,,,,"In order to be considered, please also apply through:https://careers.formlabs.com/job/1864945/apply/3D printing requires a complex interplay of software, hardware, and electronics – our embedded engineers are the critical component that ties these teams together. You’ll work closely with electrical engineers, systems engineers, and the rest of our software team to build, shape, and define our embedded systems.If you’re excited to hack on firmware and create elegant solutions to problems on real world products, we want you as anEmbedded Software Intern.The Job:Even if you don't check every box, but see yourself contributing, please apply.Help us build an inclusive community that will change the face of 3D printing.",No,Yes,No,No,No,No,No
(GLOBAL) REMOTE Manufacturing Data Analytics Co-op,"Oct 21, 2020","Dec 31, 2020",Co-op,2,S IN GA PO RE Singapore,"College of Engineering, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Other,Unpaid,Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Remote work is permitted at any time, Primarily remote work, Exclusively remote (no physical office)",,,,,Skills Gained by the End of Internship:,No,Yes,No,No,No,Yes,Yes
Software Engineering Co-op - NxStage,"Sep 09, 2020","Dec 31, 2020",Co-op,2,"Lawrence, Massachusetts United States",College of Engineering,Available,Software Development,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,,,,,,No,Yes,No,No,No,No,No
Clinical Intern,"Sep 05, 2020","Dec 02, 2020",Co-op,2,"Boston, Massachusetts United States","College of Science/Psychology, College of Science/Behavioral Neuroscience",Available,Healthcare,Unpaid,Half Time (16-31 Hours Per Week),Primarily remote work,,,,,,No,No,No,Yes,No,No,No
Sports Marketing Co-op,"Aug 28, 2020","Dec 01, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Marketing - Strategy,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,"At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.As Community and Sports Marketing Co-Op at WHOOP you'll work with different areas of the Marketing department to oversee the partners WHOOP selects to permeate our brand messaging and values across various channels. You will learn to manage relationships, distribute and collect content, and participate in the creative aspects of outside sales. This role is integral to all facets of our team, working through all phases of the marketing process: strategy and brainstorming, launch, maintaining, reporting, optimization and analysis.Responsibilities:",No,No,No,No,No,Yes,No
